dt,VitesseOrientation,posX,PosY,batterie
12.3,80,-18.5317,-542.708,1832.95,48.7097
12.4,80,-18.9346,-549.771,1854.02,48.6949
12.5,80,-18.8908,-556.981,1875.04,48.68
12.6,80,-18.692,-564.176,1896.07,48.6652
12.7,80,-19.1374,-571.298,1917.12,48.6504
12.8,80,-19.0694,-578.583,1938.11,48.6356
12.9,80,-18.8554,-585.843,1959.12,48.6208
13,80,-19.3547,-593.025,1980.15,48.606
13.1,80,-19.2707,-600.39,2001.11,48.5912
13.2,80,-19.0337,-607.724,2022.09,48.5763
13.3,80,-19.6164,-614.971,2043.1,48.5615
13.4,80,-19.5079,-622.432,2064.03,48.5467
13.5,80,-19.2358,-629.853,2084.98,48.5319
13.6,80,-19.9431,-637.174,2105.96,48.5171
13.7,80,-19.7917,-644.754,2126.85,48.5023
13.8,80,-19.8713,-652.278,2147.76,48.4875
13.9,80,-20.1817,-659.832,2168.66,48.4726
14,80,-20.0711,-667.498,2189.51,48.4578
14.1,80,-20.2561,-675.125,2210.39,48.443
14.2,80,-20.4773,-682.818,2231.23,48.4282
14.3,80.615,-20.5478,-690.592,2252.05,48.4133
14.4,81.203,-20.9867,-698.452,2273.02,48.3982
14.5,80.5251,-21.458,-706.531,2294.08,48.3833
14.6,79.8567,-22.113,-714.713,2314.9,48.3685
14.7,79.1979,-24.0001,-723.064,2335.45,48.3539
14.8,80,-29.9305,-732.012,2355.55,48.3391
14.9,80,1006.55,-743.099,2374.8,48.3242
15,80,-497.162,-764.401,2381.13,48.3094
15.1,80,-215.647,-779.511,2364.84,48.2946
15.2,80,-98.0111,-766.56,2346.78,48.2798
15.3,80,-47.8785,-788.565,2343.68,48.265
15.4,80,-26.8819,-805.048,2358.59,48.2502
15.5,80,-20.0894,-815.096,2378.41,48.2353
15.6,80,-14.9699,-822.729,2399.28,48.2205
15.7,80,-14.4079,-828.469,2420.75,48.2057
15.8,80,-12.8169,-833.999,2442.27,48.1909
15.9,80,-13.2093,-838.928,2463.94,48.1761
16,80,-13.5509,-844.006,2485.57,48.1613
16.1,80,-13.6515,-849.213,2507.18,48.1465
16.2,80,-13.731,-854.458,2528.77,48.1316
16.3,80,-13.7746,-859.733,2550.36,48.1168
16.4,80,-13.7818,-865.024,2571.94,48.102
16.5,80,-13.7805,-870.318,2593.52,48.0872
16.6,80,-13.7761,-875.611,2615.11,48.0724
16.7,80,-13.7713,-880.903,2636.69,48.0576
16.8,80,-13.7674,-886.193,2658.27,48.0428
16.9,80,-13.7641,-891.481,2679.86,48.0279
17,80,-13.7611,-896.768,2701.44,48.0131
17.1,80,-13.7584,-902.055,2723.02,47.9983
17.2,80,-13.7558,-907.34,2744.61,47.9835
17.3,80,-13.7532,-912.624,2766.19,47.9687
17.4,80,-13.7507,-917.907,2787.78,47.9539
17.5,80,-13.7522,-923.189,2809.36,47.9391
17.6,80,-13.7436,-928.472,2830.95,47.9242
17.7,80,-13.7424,-933.751,2852.54,47.9094
17.8,80,-13.7444,-939.03,2874.12,47.8946
17.9,80,-13.7361,-944.31,2895.71,47.8798
18,80,-13.7351,-949.587,2917.29,47.865
18.1,80,-13.7372,-954.863,2938.88,47.8502
18.2,80,-13.7292,-960.14,2960.47,47.8353
18.3,80,-13.7283,-965.414,2982.05,47.8205
18.4,80,-13.7266,-970.688,3003.64,47.8057
18.5,80,-13.7245,-975.961,3025.23,47.7909
18.6,80,-13.7225,-981.233,3046.82,47.7761
18.7,80,-13.7204,-986.505,3068.4,47.7613
18.8,80,-13.7183,-991.776,3089.99,47.7465
18.9,80,-13.7163,-997.046,3111.58,47.7316
19,80,-13.7142,-1002.31,3133.17,47.7168
19.1,80,-13.7122,-1007.58,3154.76,47.702
19.2,80,-13.7102,-1012.85,3176.35,47.6872
19.3,80,-13.7082,-1018.12,3197.94,47.6724
19.4,80,-13.7063,-1023.38,3219.53,47.6576
19.5,80,-13.7078,-1028.65,3241.11,47.6428
19.6,80,-13.7008,-1033.92,3262.7,47.6279
19.7,80,-13.6999,-1039.18,3284.29,47.6131
19.8,80,-13.7018,-1044.44,3305.88,47.5983
19.9,80,-13.6951,-1049.71,3327.47,47.5835
20,80,-13.6945,-1054.97,3349.06,47.5687
20.1,80,-13.6964,-1060.23,3370.65,47.5539
20.2,80,-13.6899,-1065.49,3392.25,47.5391
20.3,80,-13.6893,-1070.75,3413.84,47.5242
20.4,80,-13.6912,-1076.01,3435.43,47.5094
20.5,80,-13.6849,-1081.27,3457.02,47.4946
20.6,80,-13.6843,-1086.53,3478.61,47.4798
20.7,80,-13.6862,-1091.78,3500.2,47.465
20.8,80,-13.6801,-1097.04,3521.79,47.4502
20.9,80,-13.6796,-1102.3,3543.38,47.4353
21,80,-13.6814,-1107.55,3564.98,47.4205
21.1,80,-13.6754,-1112.81,3586.57,47.4057
21.2,80,-13.675,-1118.06,3608.16,47.3909
21.3,80,-13.6768,-1123.31,3629.75,47.3761
21.4,80,-13.671,-1128.57,3651.34,47.3613
21.5,80,-13.6705,-1133.82,3672.94,47.3465
21.6,80,-13.6723,-1139.07,3694.53,47.3316
21.7,80,-13.6667,-1144.33,3716.12,47.3168
21.8,80,-13.6663,-1149.58,3737.71,47.302
21.9,80,-13.6681,-1154.83,3759.31,47.2872
22,80,-13.6625,-1160.08,3780.9,47.2724
22.1,80,-13.6622,-1165.33,3802.49,47.2576
22.2,80,-13.6639,-1170.58,3824.09,47.2428
22.3,80,-13.6586,-1175.82,3845.68,47.2279
22.4,80,-13.6583,-1181.07,3867.27,47.2131
22.5,80,-13.66,-1186.32,3888.87,47.1983
22.6,80,-13.6575,-1191.57,3910.46,47.1835
22.7001,80,-13.6531,-1196.81,3932.06,47.1687
22.8001,80,-13.6556,-1202.06,3953.65,47.1539
22.9001,80,-13.6508,-1207.31,3975.24,47.139
23.0001,80,-13.6506,-1212.55,3996.84,47.1242
23.1001,80,-13.6524,-1217.8,4018.43,47.1094
23.2001,80,-13.6476,-1223.04,4040.03,47.0946
23.3001,80,-13.6473,-1228.28,4061.62,47.0798
23.4001,80,-13.6465,-1233.53,4083.22,47.065
23.5001,80,-13.6454,-1238.77,4104.81,47.0502
23.6001,80,-13.6468,-1244.01,4126.41,47.0353
23.7001,80,-13.6446,-1249.26,4148,47.0205
23.8001,80,-13.6405,-1254.5,4169.6,47.0057
23.9001,80,-13.6404,-1259.74,4191.19,46.9909
24.0001,80,-13.6396,-1264.98,4212.79,46.9761
24.1001,80,-13.6387,-1270.22,4234.38,46.9613
24.2001,80,-13.6379,-1275.46,4255.98,46.9465
24.3001,80,-13.6369,-1280.7,4277.57,46.9316
24.4001,80,-13.6359,-1285.94,4299.17,46.9168
24.5001,80,-13.6349,-1291.18,4320.77,46.902
24.6001,80,-13.6339,-1296.42,4342.36,46.8872
24.7001,80,-13.6329,-1301.65,4363.96,46.8724
24.8001,80,-13.6319,-1306.89,4385.55,46.8576
24.9001,80,-13.6309,-1312.13,4407.15,46.8428
25.0001,80,-13.63,-1317.37,4428.75,46.8279
25.1001,80,-13.629,-1322.6,4450.34,46.8131
25.2001,80,-13.6281,-1327.84,4471.94,46.7983
25.3001,80,-13.6271,-1333.07,4493.54,46.7835
25.4001,80,-13.6262,-1338.31,4515.13,46.7687
25.5001,80,-13.6253,-1343.55,4536.73,46.7539
25.6001,80,-13.6244,-1348.78,4558.33,46.7391
25.7001,80,-13.6235,-1354.02,4579.92,46.7242
25.8001,80,-13.6226,-1359.25,4601.52,46.7094
25.9001,80,-13.6218,-1364.48,4623.12,46.6946
26.0001,80,-13.6232,-1369.72,4644.71,46.6798
26.1001,80,-13.6189,-1374.95,4666.31,46.665
26.2001,80,-13.6187,-1380.18,4687.91,46.6502
26.3001,80,-13.6181,-1385.42,4709.51,46.6353
26.4001,80,-13.6172,-1390.65,4731.1,46.6205
26.5001,80,-13.6166,-1395.88,4752.7,46.6057
26.6001,80,-13.6158,-1401.11,4774.3,46.5909
26.7001,80,-13.615,-1406.34,4795.9,46.5761
26.8001,80,-13.6142,-1411.57,4817.49,46.5613
26.9001,80,-13.6134,-1416.8,4839.09,46.5465
27.0001,80,-13.6126,-1422.04,4860.69,46.5316
27.1001,80,-13.614,-1427.27,4882.29,46.5168
27.2001,80,-13.6099,-1432.5,4903.89,46.502
27.3001,80,-13.6098,-1437.73,4925.48,46.4872
27.4001,80,-13.6115,-1442.95,4947.08,46.4724
27.5001,80,-13.6097,-1448.18,4968.68,46.4576
27.6001,80,-13.6062,-1453.41,4990.28,46.4428
27.7001,80,-13.6065,-1458.64,5011.88,46.4279
27.8001,80,-13.6059,-1463.87,5033.48,46.4131
